gene	frequency	observed	mean	median	pattern	pval	pvalr
Nufip2	6.5	154	3.2	1.0	Inactivating	1.58e-161	227
Map2k4	12.6	297	3.6	2.0	Inactivating	1.08e-160	228
Med13	13.2	310	2.8	1.0	Inactivating	1.33e-160	229
Foxo1	10.0	236	6.4	1.0	Inactivating	1.8e-160	230
Stt3b	11.5	185	3.2	1.0	Inactivating	1.14e-159	231
Scaf4	8.2	193	3.2	1.0	Inactivating	1.37e-159	232
Chd1	10.3	243	2.9	1.0	Inactivating	1.37e-159	233
Zfp91Cntf	7.0	165	2.6	1.0	Inactivating	1.4e-159	234
Pds5a	11.7	276	3.1	1.0	Inactivating	2.87e-159	235
Zmym2	11.2	264	2.9	2.0	Inactivating	4.93e-159	236
Ep300	9.6	227	3.6	1.0	Inactivating	7.6e-159	237
Ywhaz	5.3	125	5.2	2.0	Inactivating	1.64e-158	238
Txndc11	8.4	197	4.5	2.0	Inactivating	2.3e-158	239
Dlg1	19.7	464	3.4	1.0	Inactivating	3.97e-157	240
